,Company,TypeName,Inches,Cpu,Ram,Gpu,OpSys,Weight,Price,Size_Flash Storage,Size_HDD,Size_Hybrid,Size_SSD,ppi
227,Asus,Notebook,15.6,Intel Core i5,8,Nvidia,Windows 10,2.0,40972.32,0,0,0,256,141.21199808219862
228,Asus,Notebook,17.3,Intel Core i5,8,Nvidia,Windows 10,2.69,47472.48,0,0,0,256,127.33567457123111
229,HP,Notebook,15.6,Intel Core i7,8,AMD,Windows 10,1.9,67612.31999999999,0,1,0,0,141.21199808219862
230,Asus,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,2.37,21258.1872,0,1,0,0,100.45466986113651
231,HP,Notebook,15.6,AMD,4,AMD,Windows 10,2.1,17582.399999999998,0,500,0,0,100.45466986113651
232,Lenovo,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,3.2,79866.72,0,0,0,256,141.21199808219862
233,Dell,Notebook,14.0,Intel Core i5,8,Intel,Windows 10,1.6,45767.52,0,0,0,256,157.3505121487356
234,Acer,2 in 1 Convertible,13.3,Intel Core i5,8,Intel,Windows 10,1.6,36709.92,0,0,0,256,165.6321180513006
235,Dell,Notebook,15.6,Intel Core i7,16,AMD,Linux,2.36,47898.72,0,0,0,256,141.21199808219862
236,Acer,Notebook,15.6,Intel Core i3,4,Intel,Linux,2.1,20779.2,0,1,0,0,100.45466986113651
237,Asus,Notebook,15.6,AMD,4,AMD,Windows 10,2.2,30636.0,0,0,0,128,141.21199808219862
238,Asus,Gaming,17.3,Intel Core i7,32,Nvidia,Windows 10,4.7,207259.2,0,0,0,512,127.33567457123111
239,Acer,Gaming,15.6,Intel Core i5,8,Nvidia,Windows 10,2.5,45074.88,0,0,0,256,141.21199808219862
240,Lenovo,Notebook,15.6,Intel Core i3,8,Intel,Windows 10,2.2,31381.92,0,0,0,128,100.45466986113651
241,Asus,Notebook,17.3,Intel Core i7,8,Nvidia,Windows 10,2.1,61005.6,0,0,0,128,127.33567457123111
242,Asus,Notebook,17.3,Intel Core i7,8,Nvidia,No OS,2.69,47365.92,0,0,0,128,127.33567457123111
243,Dell,Gaming,15.6,Intel Core i5,8,Nvidia,Windows 10,2.56,46833.12,0,0,0,256,141.21199808219862
244,Lenovo,2 in 1 Convertible,13.9,Intel Core i7,8,Intel,Windows 10,1.38,57489.12,0,0,0,256,158.48253022174808
245,Dell,Notebook,15.6,Intel Core i7,8,AMD,Windows 10,2.2,52480.8,0,0,0,128,141.21199808219862
246,HP,Notebook,15.6,Intel Core i5,8,Intel,Windows 10,2.04,29783.52,0,1,0,0,100.45466986113651
247,Asus,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,3.6,159786.72,0,0,0,256,127.33567457123111
248,HP,Notebook,13.3,Intel Core i5,4,Intel,Windows 10,1.49,35964.0,0,500,0,0,165.6321180513006
249,Apple,Ultrabook,13.3,Intel Core i5,8,Intel,macOS,1.37,108691.2,0,0,0,512,226.98300468106115
250,Dell,2 in 1 Convertible,15.6,Intel Core i7,8,Intel,Windows 10,2.08,43636.32,0,1,0,0,141.21199808219862
251,Asus,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,4.3,95850.72,0,0,0,256,127.33567457123111
252,Asus,Notebook,15.6,AMD,4,AMD,Windows 10,1.68,24988.32,0,1,0,0,100.45466986113651
253,Lenovo,2 in 1 Convertible,13.9,Intel Core i7,8,Intel,Windows 10,1.37,98514.72,0,0,0,512,158.48253022174808
254,Acer,Notebook,17.3,Intel Core i3,4,Nvidia,Windows 10,3.0,37402.56,0,0,0,256,127.33567457123111
255,Dell,Ultrabook,13.3,Intel Core i5,8,Intel,Windows 10,1.41,50562.72,0,0,0,256,165.6321180513006
256,HP,Notebook,15.6,AMD,8,AMD,Windows 10,1.91,23757.552,0,0,0,128,100.45466986113651
257,HP,Notebook,17.3,Intel Core i7,16,Nvidia,Windows 10,2.9,56423.52,0,1,0,0,127.33567457123111
258,MSI,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,4.14,133146.72,0,0,0,512,127.33567457123111
259,Lenovo,2 in 1 Convertible,15.6,Intel Core i7,8,Nvidia,Windows 10,2.0,90522.72,0,0,0,512,141.21199808219862
260,Dell,Notebook,17.3,Intel Core i7,8,AMD,Windows 10,2.8,60845.76,0,0,0,128,127.33567457123111
261,Lenovo,Notebook,15.6,Intel Core i3,4,Intel,No OS,2.2,23656.32,0,0,0,256,141.21199808219862
262,HP,Notebook,15.6,Intel Core i5,4,Intel,Windows 10,2.1,38468.16,0,500,0,0,141.21199808219862
263,Dell,Notebook,15.6,Intel Core i5,4,Intel,Windows 10,2.18,35004.96,0,1,0,0,141.21199808219862
264,Dell,Notebook,15.6,Intel Core i5,8,AMD,Windows 10,2.24,30103.2,0,1,0,0,141.21199808219862
265,Dell,2 in 1 Convertible,15.6,Intel Core i5,8,Intel,Windows 10,2.67,42570.72,0,0,0,256,141.21199808219862
266,Asus,2 in 1 Convertible,13.3,Intel Core i7,8,Intel,Windows 10,1.1,79866.72,0,0,0,512,165.6321180513006
267,Lenovo,Notebook,15.6,Intel Core i5,4,Intel,No OS,2.2,24881.76,0,1,0,0,141.21199808219862
268,HP,Notebook,17.3,Intel Core i7,8,Nvidia,Windows 10,2.5,54239.04,0,1,0,0,127.33567457123111
269,Lenovo,Notebook,15.6,Intel Core i7,8,Intel,Windows 10,2.05,46886.4,0,0,0,256,141.21199808219862
270,Apple,Ultrabook,13.3,Intel Core i5,8,Intel,macOS,1.37,104370.192,0,0,0,512,226.98300468106115
271,Asus,Gaming,17.3,AMD,16,AMD,Windows 10,3.2,82530.72,0,0,0,256,127.33567457123111
272,Dell,Notebook,15.6,Intel Core i7,8,AMD,Linux,2.14,39164.5296,0,0,0,256,141.21199808219862
273,Lenovo,2 in 1 Convertible,14.0,Intel Core i7,16,Intel,Windows 10,1.36,133146.72,0,0,0,512,209.8006828649808
274,Toshiba,Notebook,15.6,Intel Core i7,8,Nvidia,Windows 10,2.2,43263.36,0,500,0,0,100.45466986113651
275,Dell,Notebook,15.6,Intel Core i7,12,Intel,Windows 10,2.3,37992.3696,0,1,0,0,100.45466986113651
276,Dell,Notebook,17.3,Intel Core i7,8,AMD,Linux,2.8,58554.72,0,0,0,128,127.33567457123111
277,Acer,Notebook,15.6,Intel Core i7,8,Nvidia,Windows 10,2.2,39693.6,0,1,0,0,141.21199808219862
278,Lenovo,Notebook,17.3,Intel Core i3,4,Intel,Windows 10,2.8,26053.92,0,1,0,0,106.11306214269258
279,Lenovo,Notebook,17.3,Intel Core i7,8,Nvidia,No OS,2.8,45234.72,0,1,0,0,127.33567457123111
280,Lenovo,Notebook,17.3,Intel Core i7,6,Nvidia,Windows 10,2.8,45767.52,0,0,0,128,106.11306214269258
281,Dell,Notebook,15.6,Intel Core i3,4,AMD,Linux,2.25,22803.84,0,1,0,0,141.21199808219862
282,Lenovo,Gaming,15.6,Intel Core i5,8,Nvidia,Windows 10,2.5,44169.12,0,0,0,256,141.21199808219862
283,Lenovo,Notebook,15.6,Intel Core i5,6,Intel,Windows 10,2.2,30849.12,0,0,0,256,141.21199808219862
284,Acer,Notebook,15.6,Intel Core i7,8,Nvidia,Windows 10,3.0,50669.28,0,0,0,256,141.21199808219862
285,Acer,Notebook,15.6,Intel Core i7,12,Intel,Windows 10,2.15,35111.52,0,1,0,0,141.21199808219862
286,Lenovo,Notebook,15.6,Intel Core i7,8,Intel,Windows 10,1.95,58448.16,0,0,0,256,141.21199808219862
287,Asus,Ultrabook,15.6,Intel Core i5,8,Nvidia,Windows 10,1.7,52054.56,0,0,0,256,141.21199808219862
288,Lenovo,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,2.5,62817.12,0,0,0,256,141.21199808219862
289,Lenovo,Notebook,15.6,Intel Core i7,8,Nvidia,No OS,2.2,35112.0528,0,1,0,0,141.21199808219862
290,Acer,Notebook,15.6,Others,2,Intel,Chrome OS,2.19,10602.72,0,0,0,16,100.45466986113651
291,Asus,Gaming,17.3,Intel Core i7,8,Nvidia,Windows 10,3.0,63243.36,0,1,0,0,127.33567457123111
292,HP,Notebook,17.3,Intel Core i3,8,Intel,Windows 10,2.54,26053.92,0,1,0,0,106.11306214269258
293,Dell,Notebook,15.6,Intel Core i7,8,Nvidia,Windows 10,2.0,97449.12,0,0,0,256,141.21199808219862
294,Lenovo,Notebook,15.6,Intel Core i5,8,Intel,Windows 10,2.05,39373.92,0,0,0,256,141.21199808219862
295,Lenovo,Gaming,15.6,Intel Core i7,8,Nvidia,Windows 10,3.2,69210.72,0,1,0,0,141.21199808219862
296,Acer,Notebook,15.6,Intel Core i7,8,Nvidia,Linux,2.5,52161.12,0,0,0,256,141.21199808219862
297,Dell,Workstation,17.3,Intel Core i7,16,Nvidia,Windows 10,3.42,153705.3408,0,0,0,256,127.33567457123111
298,Lenovo,Notebook,15.6,AMD,6,AMD,Windows 10,2.4,26586.72,0,1,0,0,141.21199808219862
299,Asus,Ultrabook,15.6,Intel Core i7,16,Nvidia,Windows 10,1.63,78215.04,0,0,0,512,141.21199808219862
300,Asus,Notebook,14.0,Intel Core i3,4,Intel,Windows 10,1.3,27119.52,0,0,0,128,111.93520355955211
301,Asus,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,2.9,113060.16,0,0,0,256,127.33567457123111
302,Lenovo,Notebook,17.3,Intel Core i5,6,Nvidia,Windows 10,2.8,34578.72,0,1,0,0,106.11306214269258
303,Lenovo,Notebook,15.6,Intel Core i5,8,Nvidia,No OS,2.2,29250.72,0,1,0,0,100.45466986113651
304,Asus,Gaming,15.6,Intel Core i7,8,Nvidia,Windows 10,2.5,67399.2,0,0,0,128,141.21199808219862
305,Lenovo,Notebook,15.6,Others,4,Intel,No OS,2.2,19180.2672,0,1,0,0,100.45466986113651
306,HP,2 in 1 Convertible,13.3,Intel Core i7,16,Intel,Windows 10,1.28,105228.0,0,0,0,256,165.6321180513006
307,Toshiba,Notebook,15.6,Intel Core i7,8,Nvidia,Windows 10,2.2,55571.04,0,0,0,256,141.21199808219862
308,Lenovo,Notebook,15.6,Intel Core i5,8,Nvidia,Windows 10,2.3,43636.32,0,0,0,128,141.21199808219862
309,HP,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,1.86,24988.32,0,1,0,0,141.21199808219862
310,Lenovo,Notebook,13.3,Intel Core i5,8,Intel,Windows 10,1.1,53226.72,0,0,0,256,165.6321180513006
311,Dell,Ultrabook,13.3,Intel Core i7,16,Intel,Windows 10,1.21,133146.72,0,0,0,1,162.40629351131793
312,MSI,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,2.8,111834.72,0,0,0,256,141.21199808219862
313,Acer,Notebook,15.6,AMD,8,AMD,Windows 10,2.23,24988.32,0,0,0,256,141.21199808219862
314,Asus,2 in 1 Convertible,11.6,Others,2,Intel,Windows 10,1.1,14652.0,32,0,0,0,135.0942111925629
315,Dell,Notebook,15.6,Intel Core i5,8,AMD,Windows 10,2.33,44968.32,0,0,0,128,141.21199808219862
316,HP,2 in 1 Convertible,13.3,Intel Core i7,16,Intel,Windows 10,1.29,130482.72,0,0,0,1,162.40629351131793
317,Lenovo,Notebook,13.3,Others,4,Intel,Chrome OS,1.45,24503.472,16,0,0,0,117.82653006268643
318,HP,Notebook,14.0,Intel Core i5,8,Intel,Windows 10,1.95,52214.4,0,0,0,256,157.3505121487356
319,Acer,Notebook,11.6,Others,4,Intel,Windows 10,1.4,25840.8,128,0,0,0,135.0942111925629
320,HP,Notebook,14.0,Intel Core i7,8,Intel,Windows 10,1.48,68837.76,0,0,0,256,157.3505121487356
321,Lenovo,Notebook,17.3,Intel Core i5,4,Nvidia,Windows 10,2.79,31381.92,0,1,0,0,106.11306214269258
322,Asus,Notebook,14.0,Intel Core i7,8,Intel,Windows 10,2.0,58288.32,0,0,0,256,157.3505121487356
323,HP,Notebook,15.6,Intel Core i7,8,Intel,Windows 10,2.1,48058.56,0,1,0,0,100.45466986113651
324,Acer,Notebook,15.6,AMD,8,AMD,Windows 10,2.2,35111.52,0,0,0,256,100.45466986113651
325,Lenovo,Notebook,14.0,Others,4,Intel,Windows 10,1.44,15557.76,32,0,0,0,111.93520355955211
326,Acer,Notebook,15.6,Intel Core i5,6,Intel,Windows 10,2.23,29250.72,0,1,0,0,100.45466986113651
327,Asus,Ultrabook,15.6,Intel Core i7,8,Nvidia,Windows 10,1.7,55938.672,0,0,0,256,141.21199808219862
328,HP,Ultrabook,12.5,Intel Core i7,8,Intel,Windows 10,1.26,71128.8,0,0,0,256,176.23257360658386
329,Dell,Notebook,15.6,Intel Core i7,32,Nvidia,Windows 10,2.06,140605.91999999998,0,0,0,1,138.46177587823902
330,MSI,Gaming,17.3,Intel Core i7,8,Nvidia,Windows 10,2.7,63882.72,0,0,0,256,127.33567457123111
331,Toshiba,Notebook,15.6,Intel Core i5,8,Intel,Windows 10,2.0,50243.04,0,0,0,256,141.21199808219862
332,Asus,Notebook,14.0,Intel Core i7,8,Intel,Windows 10,2.0,71075.52,0,0,0,256,157.3505121487356
333,Lenovo,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,1.85,23922.72,0,1,0,0,141.21199808219862
334,Asus,Gaming,15.6,Intel Core i7,8,Nvidia,Windows 10,2.5,53226.72,0,0,0,256,141.21199808219862
335,HP,Notebook,14.0,Intel Core i5,8,Intel,Windows 10,1.48,67559.04,0,0,0,256,157.3505121487356
336,Dell,Ultrabook,15.6,Intel Core i5,8,Nvidia,Windows 10,1.9,55890.72,0,0,0,128,141.21199808219862
337,HP,Notebook,15.6,Intel Core i5,8,Intel,Windows 10,1.84,60952.32,0,0,0,256,141.21199808219862
338,Asus,Notebook,15.6,Others,4,Intel,Linux,2.0,14651.4672,0,1,0,0,100.45466986113651
339,Dell,Notebook,15.6,Intel Core i5,8,Nvidia,Windows 10,2.0,60885.72,0,0,0,256,141.21199808219862
340,Dell,Notebook,15.6,Others,4,Intel,Linux,2.2,14646.672,0,500,0,0,100.45466986113651
341,Lenovo,Notebook,15.6,AMD,12,AMD,Windows 10,2.2,47898.72,0,1,0,0,141.21199808219862
342,HP,Notebook,15.6,Intel Core i3,8,Nvidia,Windows 10,2.1,38148.48,0,1,0,0,141.21199808219862
343,Lenovo,2 in 1 Convertible,13.9,Intel Core i7,16,Intel,Windows 10,1.4,111834.72,0,0,0,512,155.39594990651284
344,Dell,Ultrabook,13.3,Intel Core i7,8,Intel,Windows 10,1.2,84129.12,0,0,0,256,165.6321180513006
345,Lenovo,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,2.4,60153.12,0,0,0,256,141.21199808219862
346,HP,Notebook,14.0,Others,2,Intel,Windows 10,1.44,14865.12,32,0,0,0,111.93520355955211
347,Dell,Ultrabook,15.6,Intel Core i7,16,Intel,Windows 10,1.88,85672.1088,0,0,0,512,141.21199808219862
348,Asus,2 in 1 Convertible,11.6,Others,4,Intel,Windows 10,1.5,19980.0,32,0,0,0,135.0942111925629
349,Dell,Ultrabook,15.6,Intel Core i5,8,AMD,Windows 10,1.9,35324.64,0,1,0,0,141.21199808219862
350,Dell,Notebook,15.6,Intel Core i7,16,Nvidia,Windows 10,2.06,108020.9376,0,0,0,512,138.46177587823902
351,HP,Notebook,15.6,Intel Core i7,8,Intel,Windows 10,1.84,69477.12,0,0,0,256,141.21199808219862
352,MSI,Gaming,17.3,Intel Core i7,8,Nvidia,Windows 10,2.7,75071.52,0,0,0,128,127.33567457123111
353,HP,Workstation,15.6,Intel Core i7,8,Nvidia,Windows 10,2.6,92615.0256,0,0,0,256,141.21199808219862
354,Toshiba,Notebook,15.6,Intel Core i7,16,Nvidia,Windows 10,2.4,74751.84,0,0,0,512,141.21199808219862
355,Dell,Notebook,15.6,Intel Core i7,8,AMD,Windows 10,2.02,51729.55199999999,0,0,0,128,141.21199808219862
356,Lenovo,Notebook,15.6,Others,4,Intel,No OS,2.2,17155.627200000003,0,1,0,0,100.45466986113651
357,Dell,Gaming,15.6,Intel Core i5,8,Nvidia,Windows 10,2.65,53226.72,0,1,0,0,141.21199808219862
358,Dell,Notebook,15.6,Intel Core i5,8,Intel,Windows 10,2.36,29696.6736,0,1,0,0,100.45466986113651
359,Dell,Notebook,14.0,Intel Core i5,8,Intel,Windows 10,1.36,76030.56,0,0,0,256,157.3505121487356
360,HP,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,1.86,23389.92,0,500,0,0,100.45466986113651
361,Asus,Notebook,14.0,Intel Core i5,8,Intel,Windows 10,2.0,50349.6,0,0,0,256,157.3505121487356
362,Lenovo,Notebook,17.3,Intel Core i5,6,Nvidia,Windows 10,2.8,38308.32,0,0,0,128,106.11306214269258
363,HP,Notebook,15.6,Intel Core i5,8,Intel,Windows 10,1.86,34045.92,0,1,0,0,141.21199808219862
364,Lenovo,Notebook,15.6,Intel Core i3,8,Nvidia,No OS,2.2,26586.72,0,0,0,256,100.45466986113651
365,HP,Notebook,15.6,Others,8,Intel,Windows 10,2.04,20725.92,0,1,0,0,100.45466986113651
366,Dell,Notebook,17.3,Intel Core i5,8,AMD,Windows 10,2.8,57808.8,0,0,0,128,127.33567457123111
367,Lenovo,Gaming,15.6,Intel Core i5,8,Nvidia,No OS,2.4,43103.52,0,0,0,128,141.21199808219862
368,Dell,Notebook,15.6,Intel Core i7,8,AMD,Windows 10,2.33,47898.72,0,0,0,256,141.21199808219862
369,HP,Ultrabook,14.0,Intel Core i7,8,Intel,Windows 10,1.36,93240.0,0,0,0,256,157.3505121487356
370,Asus,2 in 1 Convertible,15.6,Intel Core i7,12,Nvidia,Windows 10,2.26,58554.72,0,0,0,512,141.21199808219862
371,Acer,Notebook,15.6,AMD,4,AMD,Windows 10,2.1,22697.28,0,0,0,128,100.45466986113651
372,Asus,Gaming,17.3,AMD,16,AMD,Windows 10,3.25,117162.72,0,0,0,256,127.33567457123111
373,Lenovo,Notebook,17.3,AMD,4,AMD,Windows 10,2.6,26053.92,0,0,0,128,106.11306214269258
374,Dell,2 in 1 Convertible,13.3,Intel Core i7,8,Intel,Windows 10,1.62,46300.85279999999,0,0,0,256,165.6321180513006
375,HP,Notebook,15.6,AMD,4,AMD,Windows 10,1.91,26053.3872,0,0,0,256,141.21199808219862
376,Lenovo,Netbook,11.6,Others,4,Intel,Windows 10,1.59,29463.84,0,0,0,128,135.0942111925629
377,Dell,Notebook,15.6,Others,4,Intel,Windows 10,1.8,16463.52,0,500,0,0,100.45466986113651
378,Asus,Notebook,14.0,Others,4,Intel,Windows 10,1.5,15238.08,32,0,0,0,111.93520355955211
379,Acer,Notebook,15.6,Intel Core i7,8,Nvidia,Linux,2.4,45074.88,0,1,0,0,141.21199808219862
380,HP,Gaming,17.3,Intel Core i7,8,Nvidia,Windows 10,3.35,63456.48,0,0,0,128,127.33567457123111
381,Lenovo,Notebook,15.6,Intel Core i3,4,Intel,No OS,1.85,21498.48,0,0,0,128,141.21199808219862
382,Asus,Gaming,15.6,Intel Core i7,8,Nvidia,Windows 10,2.3,88178.4,0,0,0,128,141.21199808219862
383,Lenovo,Notebook,14.0,Intel Core i5,8,Nvidia,Windows 10,1.5,58554.72,0,0,0,256,157.3505121487356
384,Asus,Ultrabook,13.3,Intel Core i7,16,Intel,Windows 10,1.1,93181.392,0,0,0,512,165.6321180513006
385,Lenovo,Ultrabook,14.0,Intel Core i7,8,Intel,Windows 10,1.13,121584.96,0,0,0,512,209.8006828649808
386,Lenovo,Notebook,13.3,Intel Core i3,4,Intel,Windows 10,1.5,29250.72,0,0,0,128,165.6321180513006
387,Dell,Workstation,15.6,Intel Core i5,8,AMD,Windows 10,2.23,72940.31999999999,0,500,0,0,141.21199808219862
388,Dell,Workstation,15.6,Intel Core i7,8,Nvidia,Windows 10,2.0,113752.8,0,0,0,256,141.21199808219862
389,Lenovo,2 in 1 Convertible,14.0,Intel Core i7,16,Intel,Windows 10,1.42,133679.52,0,0,0,512,209.8006828649808
390,Asus,Gaming,17.3,Intel Core i7,8,Nvidia,Windows 10,3.0,55357.92,0,1,0,0,127.33567457123111
391,Asus,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,3.0,84768.48,0,0,0,256,127.33567457123111
392,Acer,Notebook,15.6,Intel Core i5,12,Nvidia,Windows 10,2.2,36975.7872,0,1,0,0,100.45466986113651
393,MSI,Gaming,17.3,Intel Core i7,8,Nvidia,Windows 10,2.7,71874.72,0,0,0,256,127.33567457123111
394,Dell,Notebook,15.6,Intel Core i7,8,AMD,Linux,2.33,41498.1936,0,0,0,256,141.21199808219862
395,HP,Ultrabook,15.6,AMD,4,AMD,Windows 10,1.91,26586.72,0,0,0,256,141.21199808219862
396,Lenovo,Notebook,15.6,Intel Core i7,8,AMD,Windows 10,2.1,65510.9568,0,0,0,256,141.21199808219862
397,Lenovo,Notebook,14.0,Intel Core i5,8,Intel,Windows 10,1.9,49976.64,0,0,0,256,157.3505121487356
398,Dell,Workstation,15.6,Intel Core i7,8,Nvidia,Windows 10,1.78,144495.36,0,0,0,256,138.46177587823902
399,Lenovo,Ultrabook,14.0,Intel Core i7,16,Intel,Windows 10,1.13,139860.0,0,0,0,1,209.8006828649808
400,Lenovo,Notebook,15.6,Others,4,Intel,Windows 10,2.2,16303.68,0,1,0,0,100.45466986113651
401,Asus,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,2.9,81465.12,0,0,0,256,127.33567457123111
402,Lenovo,Notebook,15.6,Intel Core i5,8,AMD,Windows 10,2.1,60978.96,0,0,0,256,141.21199808219862
403,Acer,Notebook,15.6,Intel Core i7,8,Nvidia,Linux,2.5,46833.12,0,0,0,256,141.21199808219862
404,MSI,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,2.8,119826.72,0,0,0,256,127.33567457123111
405,Asus,Ultrabook,14.0,Intel Core i7,8,Intel,Windows 10,1.1,99793.44,0,0,0,512,157.3505121487356
406,Toshiba,Ultrabook,13.3,Intel Core i7,16,Intel,Windows 10,1.2,93080.16,0,0,0,512,165.6321180513006
407,Dell,Ultrabook,14.0,Intel Core i7,8,Intel,Windows 10,1.36,89510.4,0,0,0,512,157.3505121487356
408,Lenovo,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,2.2,21791.52,0,500,0,0,141.21199808219862
409,Lenovo,Notebook,11.6,Others,2,Intel,Windows 10,1.15,16221.096,32,0,0,0,135.0942111925629
410,Lenovo,Workstation,15.6,Intel Core i7,8,Nvidia,Windows 10,2.67,102564.0,0,0,0,512,141.21199808219862
411,Lenovo,Ultrabook,14.0,Intel Core i7,8,Nvidia,Windows 10,1.7,103523.04,0,0,0,512,209.8006828649808
412,HP,Notebook,15.6,Intel Core i3,4,AMD,Windows 10,2.1,24988.32,0,1,0,0,141.21199808219862
413,Acer,2 in 1 Convertible,13.3,Intel Core i7,8,Intel,Windows 10,1.6,42038.4528,0,0,0,256,165.6321180513006
414,Asus,2 in 1 Convertible,13.3,Intel Core i5,8,Intel,Windows 10,1.27,49443.84,0,0,0,256,165.6321180513006
415,Dell,Notebook,15.6,Intel Core i5,4,AMD,Linux,2.3,31909.392,0,0,0,256,141.21199808219862
416,Dell,Notebook,13.3,Intel Core i3,4,Intel,Windows 10,1.65,36709.92,0,0,0,128,117.82653006268643
417,HP,Ultrabook,14.0,Intel Core i7,8,Intel,Windows 10,1.43,79920.0,0,0,0,256,157.3505121487356
418,Dell,Notebook,15.6,Intel Core i5,8,Intel,Windows 10,2.14,28768.536,0,1,0,0,100.45466986113651
419,Lenovo,Ultrabook,14.0,Intel Core i7,8,AMD,Windows 10,1.75,64755.44640000001,0,0,0,256,157.3505121487356
420,Lenovo,2 in 1 Convertible,15.6,Intel Core i7,16,Nvidia,Windows 10,2.0,101178.72,0,0,0,512,138.46177587823902
421,Chuwi,Notebook,12.3,Others,6,Intel,Windows 10,1.4,23922.72,64,0,0,0,267.3384360344031
422,HP,Notebook,15.6,Intel Core i7,8,Intel,Windows 10,2.31,76030.56,0,0,0,256,141.21199808219862
423,Asus,Notebook,15.6,Intel Core i3,8,Nvidia,Linux,2.3,31808.16,0,1,0,0,141.21199808219862
424,Dell,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,4.42,149130.72,0,0,0,256,169.78089942830815
425,Dell,Gaming,15.6,Intel Core i7,8,Nvidia,Windows 10,2.62,61751.52,0,0,0,128,141.21199808219862
426,Dell,Notebook,15.6,Intel Core i7,8,AMD,Windows 10,2.02,60867.072,0,0,0,256,141.21199808219862
427,Dell,Ultrabook,14.0,Intel Core i7,8,Intel,Linux,1.6,58554.72,0,0,0,256,157.3505121487356
428,HP,Gaming,17.3,Intel Core i7,12,Nvidia,Windows 10,3.35,106506.72,0,0,0,256,127.33567457123111
429,Mediacom,2 in 1 Convertible,11.6,Others,4,Intel,Windows 10,1.16,15930.72,0,0,0,32,189.90579052433606
430,Samsung,Netbook,11.6,Others,4,Intel,Chrome OS,1.15,14332.32,16,0,0,0,135.0942111925629
431,Lenovo,Notebook,13.3,Intel Core i7,8,Intel,Windows 10,1.4,53812.8,0,0,0,256,165.6321180513006
432,Lenovo,Notebook,14.0,Intel Core i3,4,Intel,Windows 10,1.7,31914.72,0,0,0,128,157.3505121487356
433,Lenovo,Workstation,15.6,Intel Core i7,16,Nvidia,Windows 10,2.3,130269.6,0,0,0,512,138.46177587823902
434,Lenovo,Notebook,15.6,Intel Core i7,16,Nvidia,Windows 10,2.5,130482.72,0,0,0,512,141.21199808219862
435,Asus,Gaming,17.3,AMD,8,AMD,Windows 10,3.2,90309.6,0,0,0,256,127.33567457123111
436,HP,Notebook,15.6,Others,4,Intel,Windows 10,2.1,18488.16,0,500,0,0,100.45466986113651
437,Google,Ultrabook,12.3,Intel Core i7,16,Intel,Chrome OS,1.1,117162.72,0,0,0,512,234.50740003017813
438,Lenovo,Ultrabook,14.0,Intel Core i7,24,Intel,Windows 10,1.32,126912.96,0,0,0,512,209.8006828649808
439,Asus,Notebook,15.6,Intel Core i5,4,Intel,Linux,2.0,29783.52,0,0,0,256,141.21199808219862
440,Lenovo,Notebook,17.3,AMD,8,AMD,Windows 10,2.8,27652.32,0,1,0,0,106.11306214269258
441,Dell,Notebook,15.6,Intel Core i5,4,AMD,Windows 10,2.2,39906.72,0,0,0,256,141.21199808219862
442,Lenovo,Ultrabook,12.5,Intel Core i5,8,Intel,Windows 10,1.36,76137.12,0,0,0,256,176.23257360658386
443,Lenovo,Notebook,15.6,Others,4,Intel,Windows 10,2.2,18594.72,0,0,0,128,141.21199808219862
444,HP,Gaming,15.6,Intel Core i7,8,Nvidia,Windows 10,2.2,58554.72,0,0,0,128,141.21199808219862
445,Dell,Notebook,14.0,Intel Core i5,8,Nvidia,Windows 10,1.64,62817.12,0,0,0,256,157.3505121487356
446,Acer,Notebook,15.6,Intel Core i5,4,Intel,Linux,2.4,23539.104,0,500,0,0,100.45466986113651
447,Dell,Workstation,15.6,Others,8,Nvidia,Windows 10,2.23,106187.04,64,0,0,0,141.21199808219862
448,MSI,Gaming,15.6,Intel Core i5,8,Nvidia,Windows 10,2.2,54757.9872,0,0,0,256,141.21199808219862
449,Microsoft,Ultrabook,13.5,Intel Core i7,16,Intel,Windows 10 S,1.25,137941.91999999998,0,0,0,512,200.84255993695703
450,HP,Notebook,15.6,Intel Core i5,8,Intel,Windows 10,1.91,31381.92,0,0,0,128,100.45466986113651
451,Dell,Workstation,15.6,Intel Core i7,16,Nvidia,Windows 10,2.17,105228.0,0,0,0,256,141.21199808219862
452,HP,Workstation,15.6,Intel Core i7,8,Intel,Windows 10,2.31,81731.52,0,0,0,512,141.21199808219862
453,Lenovo,Notebook,14.0,Intel Core i5,8,Intel,Windows 10,1.65,71661.59999999999,0,0,0,256,157.3505121487356
